id,tag,date,ocid,language,initiationType,buyer_id,buyer_name,tender_id,tender_title,tender_mainProcurementCategory,tender_status,tender_category,tender_province,tender_additionalProcurementCategories,tender_procurementMethodDetails,tender_description,tender_specialConditions,tender_procurementMethod,tender_deliveryLocation,tender_value_amount,tender_value_currency,tender_tenderPeriod_endDate,tender_tenderPeriod_startDate,tender_contactPerson_name,tender_contactPerson_email,tender_contactPerson_telephoneNumber,tender_briefingSession_date,tender_briefingSession_venue,tender_briefingSession_isSession,tender_briefingSession_compulsory,tender_procuringEntity_id,tender_procuringEntity_name,planning_rationale,planning_budget_description,tender_contactPerson_faxNumber
ocds-9t57fa-23098-2017-10-11T00:00:00Z,compiled,2017-10-11T00:00:00Z,ocds-9t57fa-23098,en-za,tender,667,Transnet SOC Ltd,23098,TNPA/2022/02/0121/RFP,,active,"Computer programming, consultancy and related activities",National,consultingServices,Request for Proposal,"THE SUPPLY, DELIVERY AND COMMISSION SERVER INFRASTRUCTURE HARDWARE REFRESH AT THE PORT OF CAPE TOWN, DURBAN AND NGQURA INCLUDING A 5 YEAR PROJECT MAINTENANCE","PORT OF NGQURA
Nepture elwandle boardroom, Ground Floor, Admin Building (Emendi),N2 Neptune Road Off Klub Road, Port of Ngqura, Port Elizabeth on Tuesday, 10 June 2022 at 10:00am

PORT OF DURBAN
N-Shed Passenger Terminal, Port Of Durban, 40011 on Tuesday, 13 June 2022 at 10:00am. 

PORT OF CAPE TOWN
TNPA House 10th floor boardroom, Corporate Services Building, South Arm Road, Port of Ngqura, Port of Cape Town on Tuesday, 14 June 2022 at 10:00am. 
",open,"Admin Building (Emendi),N2 Neptune Road Off Klub Road, - Port Elizabeth  - Port of Ngqura - 6000",0,ZAR,2022-07-01T10:00:00Z,2017-10-11T00:00:00Z,Mpho Mohapi,mpho.mohapi@transnet.net,066-293-2210,2022-06-10T10:00:00Z,"10th June Port of Ngqura, 13 June Durban and 14 June Cape Town",true,true,667,Transnet SOC Ltd,, - ,
ocds-9t57fa-27932-2017-02-04T00:00:00Z,compiled,2017-02-04T00:00:00Z,ocds-9t57fa-27932,en-za,tender,597,Solplaatje Local Municipality,27932,40/2021/2022,services,active,Repair and installation of machinery and equipment,Northern Cape,services,Request for Quotation,Supply and delivery of New Submersible Pump for midlands Sewer Pump Station (2 x Uninstalled Spare Pump,N/A,open,Municipal Stores Complex Abottoir Road - Ashburnham - kimberley - 8301,0,ZAR,2022-07-22T11:00:00Z,2017-02-04T00:00:00Z,S Mkhize,smkhize@solplaatje.org.za,053-832-6180,0001-01-01T00:00:00Z,N/A,false,false,597,Solplaatje Local Municipality,, - ,
ocds-9t57fa-29209-2017-02-01T00:00:00Z,compiled,2017-02-01T00:00:00Z,ocds-9t57fa-29209,en-za,tender,618,South African National Roads Agency Soc Limited (SANRAL),29209,N.002-078-2023/2,works,active,Civil engineering,Western Cape,works,Request for Proposal,CONTRACT SANRAL N.002-078-2023/2 - FOR THE ROUTINE ROAD MAINTENANCE OF NATIONAL ROUTE 2 SECTIONS 7 TO 8 FROM RONDEHEUWEL (KM 3.42) TO NATURES VALLEY (KM 80.85),"Only tenderers with a B-BBEE contributor status level of 1, 2, 3 or 4, who are registered on the National Treasury Central Supplier Database at the tender closing date; and meet the stipulated minimum threshold for local content and production as stated in the Tender Data are eligible to tender. It is estimated that tenderers should have a CIDB contractor grading designation of 8 CE or higher, however, tenderers attention is drawn to clause C.2.1 of the Tender Data when submitting their tender.

",open,"1 Havenga Street, Oakdale - Bellville - Cape Town - 7530",0,ZAR,2022-09-09T09:00:00Z,2017-02-01T00:00:00Z,ProcurementWR5@sanral.co.za,ProcurementWR5@sanral.co.za,021-957-4600,2022-08-26T14:00:00Z,Virtual meeting (MS teams),true,true,618,South African National Roads Agency Soc Limited (SANRAL),, - ,
ocds-9t57fa-30422-2017-02-12T00:00:00Z,compiled,2017-02-12T00:00:00Z,ocds-9t57fa-30422,en-za,tender,635,Stellenbosch Municipality,30422,DSM 03/23,,active,Legal and accounting activities,Western Cape,consultingServices,Deviation,"DEVIATION:  APPOINTMENT OF A SERVICE PROVIDER TO OPPOSE THE INTERDICT AND REVIEW APPLICATION INSTITUTED BY XMOOR TRANSPORT (PTY) LTD (“XMOOR”) AGAINST STELLENBOSCH MUNICIPALITY  AND ANOTHER (“THE MUNICIPALITY”) . APPLICATION BY XMOOR TRANSPORT TO REVIEW AND SET ASIDE THE DECISION OF THE BID ADJUDICATION COMMITTEE TAKEN ON OR ABOUT 27 MAY 2022, TO EXCLUDE XMOOR’S BID NO B/SM41/21 AND DECLARING XMOOR’S TENDER TO BE NON-RESPONSIVE",N/A,direct,Stellenbosch Municipality - Stellenbosch - Stellenbosch - 7600,0,ZAR,2022-08-02T12:00:00Z,2017-02-12T00:00:00Z,Mervin Williams,mervin.williams@stellenbosch.gov.za,021-808-8991,0001-01-01T00:00:00Z,N/A,false,false,635,Stellenbosch Municipality,, - ,
ocds-9t57fa-40423-2017-05-13T00:00:00Z,compiled,2017-05-13T00:00:00Z,ocds-9t57fa-40423,en-za,tender,778,Eastern Cape - Cooperative Governance  and Traditional Affairs,40423,SCMU7-22/23-0004,services,cancelled,Other service activities,Eastern Cape,services,Request for Bid(Open-Tender),"APPOINTMENT OF A SERVICE PROVIDER FOR THE LAYOUT, DESIGN, PRINTING AND DELIVERY SERVICES FOR A PERIOD OF THIRTY-SIX (36) MONTHS",Attached in the Terms of Reference ,open,"Tyamzashe Building, Phalo Avenue, Bhisho - Bhisho - Bhisho - 5605",0,ZAR,2022-08-29T11:00:00Z,2017-05-13T00:00:00Z,"Mr T. Nchukana, Mr A. Mlata",Thembani.Nchukana@eccogta.gov.za,040-940-7034,2022-08-16T10:00:00Z,"2nd Floor Boardroom , Tyamzashe Building ",true,false,778,Eastern Cape - Cooperative Governance  and Traditional Affairs,, - ,040-940-7022
ocds-9t57fa-41236-2017-05-13T00:00:00Z,compiled,2017-05-13T00:00:00Z,ocds-9t57fa-41236,en-za,tender,624,South African Revenue Service,41236,EX021/2022,,active,Services: Professional,Gauteng,consultingServices,Deviation,subscription to Sabinet – Online and World Share Inter Library Loan.  ,N/A,direct,299 Bronkhorst Street - Nieuw Muckleneuk - Pretoria - 0181,0,ZAR,2022-11-22T11:00:00Z,2017-05-13T00:00:00Z,Siseko Lande,slande@sars.gov.za,066-240-9411,0001-01-01T00:00:00Z,N/A,false,false,624,South African Revenue Service,, - ,
ocds-9t57fa-44011-2017-07-04T00:00:00Z,compiled,2017-07-04T00:00:00Z,ocds-9t57fa-44011,en-za,tender,611,South African Local Government Association,44011,54907,,active,Activities of head offices; management consultancy activities,National,consultingServices,Request for Proposal,Request for Proposals for the Appointment of a Service Provider to conduct a Study on the Provision of Free Basis Services by Municipalities,N/A,open,"175 COROBAY AVE, BLOCK B, MENLYN COPORATE PARK - PRETORIA - PRETORIA - 0181",0,ZAR,2023-01-12T11:00:00Z,2017-07-04T00:00:00Z,Lindiwe Mhlongo,lmhlongo@salga.org.za,012-369-8000,0001-01-01T00:00:00Z,N/A,true,true,611,South African Local Government Association,, - ,012-369-8001
ocds-9t57fa-56698-2017-11-27T00:00:00Z,compiled,2017-11-27T00:00:00Z,ocds-9t57fa-56698,en-za,tender,597,Solplaatje Local Municipality,56698,Q052,works,complete,"Electricity, gas, steam and air conditioning",Northern Cape,works,Request for Quotation,"HOLES TO BE DRILLED PLATFONTEIN 6: 61 X 9MM POLES HARD ROCK, HOLES TO BE DRILLED PLATFONTEIN ITEM 10: 12 X 12M POLES HARD ROCK",N/A,open,Abattoir Road - Ashburnham - Kimberley - 8301,0,ZAR,2023-05-19T11:00:00Z,2017-11-27T00:00:00Z,FRANCOIS KOEN,fkoen@solplaatje.org.za,053-830-6180,0001-01-01T00:00:00Z,N/A,true,true,597,Solplaatje Local Municipality,, - ,
ocds-9t57fa-151118-2017-07-26T00:00:00Z,compiled,2017-07-26T00:00:00Z,ocds-9t57fa-151118,en-za,tender,167,ESKOM,151118,CORP4188,goods,complete,Supplies: General,National,goods,Request for Quotation,"Tender Cancellation: The supply and delivery of lubricants on an ""as” and when required basis to various Eskom sites for a period of three (3) years (CORP4188)",N/A,open,Various power stations -  - Various power stations - ,0,ZAR,2017-09-01T10:00:00Z,2017-07-26T00:00:00Z,MARUBINI CHAUKE,Chaukem@eskom.co.za,011-800-6085,0001-01-01T00:00:00Z,Not Applicable,false,false,167,ESKOM,, - ,
ocds-9t57fa-139259-2017-03-31T00:00:00Z,compiled,2017-03-31T00:00:00Z,ocds-9t57fa-139259,en-za,tender,128,Eastern Cape - Education,139259,SCMU6- 16/17-0171,services,active,Food and beverage service activities,Eastern Cape,services,Request for Bid(Open-Tender),Appointment of a service provider for catering services in subsidised hostels of public ordinary schools in the Eastern Cape.,N/A,open,"Steve Vukile Complex - Zwelitsha, Zone 6 - Bhisho - 5608",0,ZAR,2017-05-02T11:00:00Z,2017-03-31T00:00:00Z,Pakamile Nxozana,pakamile.nxozana@ecdoe.gov.za,040-608-4656,2017-05-15T10:00:00Z,Mandla Makhuphula  Leadership Institute East London,true,true,128,Eastern Cape - Education,, - ,
