id,tag,date,ocid,initiationType,language,buyer_id,buyer_name,tender_id,tender_title,tender_procurementMethodDetails,tender_status,tender_category,tender_province,tender_additionalProcurementCategories,tender_description,tender_mainProcurementCategory,tender_specialConditions,tender_procurementMethod,tender_deliveryLocation,tender_value_amount,tender_value_currency,tender_tenderPeriod_endDate,tender_tenderPeriod_startDate,tender_contactPerson_name,tender_contactPerson_email,tender_contactPerson_telephoneNumber,tender_briefingSession_date,tender_briefingSession_venue,tender_briefingSession_isSession,tender_briefingSession_compulsory,tender_procuringEntity_id,tender_procuringEntity_name,planning_rationale,planning_budget_description,tender_contactPerson_faxNumber
ocds-9t57fa-60091-2018-01-02T00:00:00Z,compiled,2018-01-02T00:00:00Z,ocds-9t57fa-60091,tender,en-za,597,Solplaatje Local Municipality,60091,Q051/2022/23,Request for Quotation,complete,Supplies: Computer Equipment,Western Cape,goods,"SUPPLY, DELIVERY AND SETUP OF POC RADIO SYSTEM",goods,N/A,open,Abattoir Road - Ashburnham - Kimberley - 8301,0,ZAR,2023-05-12T11:00:00Z,2018-01-02T00:00:00Z,FRANCOIS KOEN,fkoen@solplaatje.org.za,053-830-6180,0001-01-01T00:00:00Z,N/A,true,true,597,Solplaatje Local Municipality,, - ,
ocds-9t57fa-60707-2018-07-30T00:00:00Z,compiled,2018-07-30T00:00:00Z,ocds-9t57fa-60707,tender,en-za,75,Competition Commission,60707,BID07/2324,Transversal contract,active,Information and communication,Gauteng,services,Office Automation Solution (RT3-2022),services,N/A,open,"77 Meintjies Street, DTIC Campus  - Sunnyside - Pretoria - 0020",0,ZAR,2023-07-26T11:00:00Z,2018-07-30T00:00:00Z,Binu Idiculla,binui@compcom.co.za,012-394-3200,0001-01-01T00:00:00Z,N/A,false,false,75,Competition Commission,, - ,
ocds-9t57fa-89642-2018-10-30T00:00:00Z,compiled,2018-10-30T00:00:00Z,ocds-9t57fa-89642,tender,en-za,167,ESKOM,89642,MWP2397CX.,Request for Bid(Open-Tender),cancelled,Supplies: General,National,goods,REGRET LETTER FOR ONCE-OFF SUPPLY AND DELIVERY OF 5 X COMPLETE SOLAR FLOODLIGHT SYSTEMS IN ACCORDANCE WITH ESKOM PROCEDURE: 240-126210656 LED STREET LIGHTING FOR MAJUBA UNDERGROUND COAL GASIFICATION SITE.,goods,N/A,open,Lower Germiston Road - Rosherville  - Johhanesburg - 2022,0,ZAR,2024-07-31T11:00:00Z,2018-10-30T00:00:00Z,Pam Nolutshungu,jiyanebp@eskom.co.za,011-629-4239,0001-01-01T00:00:00Z,N/A,false,false,167,ESKOM,, - ,
ocds-9t57fa-91078-2018-11-18T00:00:00Z,compiled,2018-11-18T00:00:00Z,ocds-9t57fa-91078,tender,en-za,281,Justice & Constitutional Development,91078,POS00002F4,Request for Quotation,complete,Supplies: Stationery/Printing,National,goods,PRINTING SERVICES,goods,NONE,open,329 PRETORIUS STREET - PRETORIA - GAUTENG - 0001,0,ZAR,2024-05-20T11:00:00Z,2018-11-18T00:00:00Z,VONANI MABASO,VMABASO@JUSTICE.GOV.ZA,012-320-0209,0001-01-01T00:00:00Z,N/A,false,false,281,Justice & Constitutional Development,, - ,012-345-1111
ocds-9t57fa-91310-2018-11-18T00:00:00Z,compiled,2018-11-18T00:00:00Z,ocds-9t57fa-91310,tender,en-za,281,Justice & Constitutional Development,91310,POS00002LD,Request for Quotation,complete,Other service activities,National,services,TEAM MATE LICENCE RENEWAL,services,N/A,open,329 PRETORIUS STREET - PRETORIA - GAUTENG - 0001,0,ZAR,2024-05-22T11:00:00Z,2018-11-18T00:00:00Z,MMBENGENI BVUMBI,MBVUMBI@justice.gov.za,012-315-4836,0001-01-01T00:00:00Z,N/A,false,false,281,Justice & Constitutional Development,, - ,012-345-1111
ocds-9t57fa-152357-2018-07-20T00:00:00Z,compiled,2018-07-20T00:00:00Z,ocds-9t57fa-152357,tender,en-za,332,Labour,152357,LAB 02/2018,Request for Bid(Open-Tender),active,"Computer programming, consultancy and related activities",National,consultingServices,"SAP SUPPORT, MAINTENANCE & ENHANCEMENT SERVICES AND SUPPLY OF NON-SAP RESOURCES FOR THE DEPARTMENT OF LABOUR FOR THE PERIOD OF THREE (3) YEARS",,None,open,215 Francis Baard - Pretoria central - Pretoria - 0001,0,ZAR,2018-08-10T11:00:00Z,2018-07-20T00:00:00Z,Bella Gelebe,bella.galebe@labour.gov.za,012-309-4084,0001-01-01T00:00:00Z,N/A,false,false,332,Labour,, - ,
ocds-9t57fa-56746-2018-05-07T00:00:00Z,compiled,2018-05-07T00:00:00Z,ocds-9t57fa-56746,tender,en-za,167,ESKOM,56746,MPKOM10599GX - R1,Request for Bid(Open-Tender),complete,Civil engineering,Mpumalanga,works,Ash Dam monitoring,works,N/A,open,Bethal/Middelburg Road - Blinkpan - Blinkpan - ,0,ZAR,2023-06-26T11:00:00Z,2018-05-07T00:00:00Z,Nhlanhla,SibanyNH@eskom.co.za,013-295-9468,0001-01-01T00:00:00Z,Komati Power Station,true,true,167,ESKOM,, - ,013-295-9468
ocds-9t57fa-60092-2018-01-02T00:00:00Z,compiled,2018-01-02T00:00:00Z,ocds-9t57fa-60092,tender,en-za,597,Solplaatje Local Municipality,60092,Q053/2022/23,Request for Quotation,complete,Manufacture of electrical equipment,Northern Cape,goods,SUPPLY AND DELIVERY OF GEYSERS,goods,N/A,open,Abattoir Road - Ashburnham - Kimberley - 8301,0,ZAR,2023-05-24T11:00:00Z,2018-01-02T00:00:00Z,FRANCOIS KOEN,fkoen@solplaatje.org.za,053-830-6180,0001-01-01T00:00:00Z,N/A,true,true,597,Solplaatje Local Municipality,, - ,
ocds-9t57fa-61082-2018-01-13T00:00:00Z,compiled,2018-01-13T00:00:00Z,ocds-9t57fa-61082,tender,en-za,624,South African Revenue Service,61082,3100033757,Request for Quotation,active,Other service activities,Free State,services,Destruction of Goods ,services,None,open,Boader Posts free state - Ladybrand  - ladybrand - 0000,0,ZAR,2023-07-24T11:00:00Z,2018-01-13T00:00:00Z,Abel Tokollo Pila,apila@sars.gov.za,066-110-2040,0001-01-01T00:00:00Z,N/A,false,false,624,South African Revenue Service,, - ,
ocds-9t57fa-88783-2018-11-25T00:00:00Z,compiled,2018-11-25T00:00:00Z,ocds-9t57fa-88783,tender,en-za,167,ESKOM,88783,KZN131,Request for Bid(Open-Tender),active,Food and beverage service activities,KwaZulu-Natal,services,"The Provision of Catering Services for Mersey Training Centre, Pietermaritzburg and Durban Areas in the KwaZulu Natal Operating Unit for the training interventions and business meetings on an as and when required basis for a period of thirty-six (36) months.",services,N/A,open,25 Valley View Road New Germany - New Germany - Kwa Zulu Natal - 3610,0,ZAR,2024-07-01T10:00:00Z,2018-11-25T00:00:00Z,NOMBUSO XULU,xulunso@eskom.co.za,031-710-5111,2024-05-17T10:00:00Z,Eskom Mersey Training Centre - See Invitation for Details,true,true,167,ESKOM,, - ,
