id,tag,date,ocid,language,initiationType,buyer_id,buyer_name,tender_id,tender_title,tender_procurementMethodDetails,tender_status,tender_category,tender_province,tender_additionalProcurementCategories,tender_description,tender_mainProcurementCategory,tender_specialConditions,tender_procurementMethod,tender_deliveryLocation,tender_value_amount,tender_value_currency,tender_tenderPeriod_endDate,tender_tenderPeriod_startDate,tender_contactPerson_name,tender_contactPerson_email,tender_contactPerson_telephoneNumber,tender_briefingSession_date,tender_briefingSession_venue,tender_briefingSession_isSession,tender_briefingSession_compulsory,tender_procuringEntity_id,tender_procuringEntity_name,planning_rationale,planning_budget_description,tender_contactPerson_faxNumber
ocds-9t57fa-119523-2019-08-09T00:00:00Z,compiled,2019-08-09T00:00:00Z,ocds-9t57fa-119523,en-za,tender,128,Eastern Cape - Education,119523,SCMU6-18/19-0006,Request for Bid(Open-Tender),active,"Travel agency, tour operator, reservation service and related activities",Eastern Cape,"""""",Appointment of travel Management Agents to render facilitation of travel and accommodation services for Eastern Cape Department,,N/A,open,STEVE VUKILE  TSHWETE COMPLEX - ZWELITSHA - ZWELITSHA - 5605,0,ZAR,2019-08-26T11:00:00Z,2019-08-09T00:00:00Z,P. NXOZANA,pakamile.nxozana@ecdoe.gov.za,040-608-4524,0001-01-01T00:00:00Z,N/A,false,false,128,Eastern Cape - Education,, - ,
ocds-9t57fa-119528-2019-06-07T00:00:00Z,compiled,2019-06-07T00:00:00Z,ocds-9t57fa-119528,en-za,tender,128,Eastern Cape - Education,119528,SCMU6-19/20-0006,Request for Bid(Open-Tender),complete,Manufacture of machinery and equipment n.e.c.,Eastern Cape,goods,"To source a Service Provider with expertise in the provisioning of tools, machinery, equipment and consumables in all three (3) areas of specialization in the subject electrical technology in the Eastern Cape Department of Education for a period of three (3) years",goods,N/A,open,STEVE VUKILE  TSHWETE COMPLEX - ZWELITSHA - ZWELITSHA - 5605,0,ZAR,2020-06-29T11:00:00Z,2019-06-07T00:00:00Z,P. NXOZANA,pakamile.nxozana@ecdoe.gov.za,040-608-4524,0001-01-01T00:00:00Z,N/A,false,false,128,Eastern Cape - Education,, - ,
ocds-9t57fa-119530-2019-06-07T00:00:00Z,compiled,2019-06-07T00:00:00Z,ocds-9t57fa-119530,en-za,tender,128,Eastern Cape - Education,119530,SCMU6-19/20-0008,Request for Bid(Open-Tender),active,Manufacture of machinery and equipment n.e.c.,Eastern Cape,goods,"To source a Service Provider with expertise in the provisioning of tools, machinery, equipment and consumables in all three (3) areas of specialization in the subject electrical technology in the Eastern Cape Department of Education for a period of three (3) years",goods,N/A,open,STEVE VUKILE  TSHWETE COMPLEX - ZWELITSHA - ZWELITSHA - 5605,0,ZAR,2019-06-24T11:00:00Z,2019-06-07T00:00:00Z,P. NXOZANA,pakamile.nxozana@ecdoe.gov.za,040-608-4524,0001-01-01T00:00:00Z,N/A,false,false,128,Eastern Cape - Education,, - ,
ocds-9t57fa-120358-2019-10-21T00:00:00Z,compiled,2019-10-21T00:00:00Z,ocds-9t57fa-120358,en-za,tender,167,ESKOM,120358,E1184GXPOU,Request for Bid(Open-Tender),active,Supplies: General,Western Cape,goods,Supply and Delivery of Top Cover Bronze Wearing Components at Drakensberg Pumped Storage Scheme for a period of five (5) years,goods,N/A,open,Drakensberg Power Station - Jagersrust - KwaZulu-Natal - 3354,0,ZAR,2025-05-16T10:00:00Z,2019-10-21T00:00:00Z,Christelle Stuart,stuartcj@eskom.co.za,021-522-3929,2025-04-24T11:00:00Z,MS TEAMS,true,true,167,ESKOM,, - ,
ocds-9t57fa-125559-2019-08-02T00:00:00Z,compiled,2019-08-02T00:00:00Z,ocds-9t57fa-125559,en-za,tender,128,Eastern Cape - Education,125559,SCMU6-19/20-0008.,Request for Bid(Open-Tender),active,Manufacture of machinery and equipment n.e.c.,Eastern Cape,goods,"To source a Service Provider with expertise in the provisioning of tools, machinery, equipment and consumables in all three (3) areas of specialization in the subject electrical technology in the Eastern Cape Department of Education for a period of three (3) years	",goods,N/A,open,"STEVE TSHWETE COMOPLEX, ZWELITSHA, ZONE 6 - ZWELITSHA - KING WILLAMS TOWN - 5605",0,ZAR,2019-08-27T11:00:00Z,2019-08-02T00:00:00Z,Pakamile Nxozana,pakamile.nxozana@ecdoe.gov.za,040-608-4743,0001-01-01T00:00:00Z,N/A,false,false,128,Eastern Cape - Education,, - ,
ocds-9t57fa-92816-2019-01-01T00:00:00Z,compiled,2019-01-01T00:00:00Z,ocds-9t57fa-92816,en-za,tender,281,Justice & Constitutional Development,92816,POS00003F3,Request for Quotation,complete,Supplies: General,National,goods,SIGNAGE,goods,NONE,open,"MOMENTUM BUILDING , DOJCD - PRETORIA - PRETORIA - 0001",0,ZAR,2024-05-14T11:00:00Z,2019-01-01T00:00:00Z,MAGOBOSHANE BOPAPE,MAGBOPAPE@JUSTICE.GOV.ZA,076-524-0648,0001-01-01T00:00:00Z,N/A,false,false,281,Justice & Constitutional Development,, - ,
ocds-9t57fa-152521-2019-01-21T00:00:00Z,compiled,2019-01-21T00:00:00Z,ocds-9t57fa-152521,en-za,tender,511,Northern Cape - Office of the Premier,152521,PO 04/2019,Transversal contract,active,Land transport and transport via pipelines,Northern Cape,services,Fleet Management Services ,services,N/A,open,69 Memorial Road - Monument Heights  - Kimberley - 8301,0,ZAR,2019-01-25T11:00:00Z,2019-01-21T00:00:00Z,Pelonolo Meruti,pmeruti@ncpg.gov.za,071-683-4033,0001-01-01T00:00:00Z,N/A,true,true,511,Northern Cape - Office of the Premier,, - ,
ocds-9t57fa-119526-2019-09-12T00:00:00Z,compiled,2019-09-12T00:00:00Z,ocds-9t57fa-119526,en-za,tender,128,Eastern Cape - Education,119526,SCMU6-18/19-0005,Request for Bid(Open-Tender),active,Telecommunications,Eastern Cape,works,"APPOINTMENT OF A SUITABLY QUALIFIED SERVICE PROVIDER FOR THE IMPLEMENTATION OF AN INTEGRATED MARKETING COMMUNICATION STRATEGY, BRANDING, ADVERTISING, EVENTS MANAGEMENT, PUBLIC RELATIONS, THE PRODUCTION OF EDUCATIONAL MATERIALS AND COMMUNICATIONS AS WELL AS TARGETED STAND-ALONE COMMUNICATION CAMPAIGN PROJECTS FOR FLAGSHIP LINE ITEMS I.E INFRASTRUCTURE, EARLY CHILDHOOD DEVELOPMENT, NATIONAL SCHOOL NUTRITION PROGRAMME ETC, IN SUPPORT OF THE OBJECTIVES OF THE EASTERN CAPE DEPARTMENT OF EDUCATION.",works,N/A,open,STEVE VUKILE  TSHWETE COMPLEX - ZWELITSHA - ZWELITSHA - 5605,0,ZAR,2019-10-09T11:00:00Z,2019-09-12T00:00:00Z,P. NXOZANA,pakamile.nxozana@ecdoe.gov.za,040-608-4524,0001-01-01T00:00:00Z,N/A,false,false,128,Eastern Cape - Education,, - ,
ocds-9t57fa-125566-2019-08-02T00:00:00Z,compiled,2019-08-02T00:00:00Z,ocds-9t57fa-125566,en-za,tender,128,Eastern Cape - Education,125566,SCMU6-19/20-0006.,Request for Bid(Open-Tender),active,Manufacture of machinery and equipment n.e.c.,Eastern Cape,goods,"To source a Service Provider with expertise in the provisioning of tools, machinery, equipment and consumables in all three (3) areas of specialization in the subject electrical technology in the Eastern Cape Department of Education for a period of three (3) years",goods,N/A,open,"STEVE TSHWETE COMOPLEX, ZWELITSHA, ZONE 6 - ZWELITSHA - KING WILLAMS TOWN - 5605",0,ZAR,2019-08-26T11:00:00Z,2019-08-02T00:00:00Z,Pakamile Nxozana,pakamile.nxozana@ecdoe.gov.za,040-608-4743,0001-01-01T00:00:00Z,N/A,false,false,128,Eastern Cape - Education,, - ,
ocds-9t57fa-268-2019-06-29T00:00:00Z,compiled,2019-06-29T00:00:00Z,ocds-9t57fa-268,en-za,tender,167,ESKOM,268,4600069275,Request for Quotation,active,Services: General,National,services,"Design, Supply, Delivery, Installation, Commissioning, Training, Support of Video Conferencing System",services,N/A,open, -  -  - ,0,ZAR,2019-08-14T00:00:00Z,2019-06-29T00:00:00Z,Godfrey Radzelani,RadzelGR@eskom.co.za,0860037566,0001-01-01T00:00:00Z,N/A,false,false,167,ESKOM,, - ,
ocds-9t57fa-30982-2019-02-15T00:00:00Z,compiled,2019-02-15T00:00:00Z,ocds-9t57fa-30982,en-za,tender,611,South African Local Government Association,30982,SALGA/75/2019,Request for Bid(Open-Tender),active,Legal and accounting activities,National,consultingServices,Request for Proposals for the Appointment of a Panel of Legal Attorneys who will Render Specialized Legal Services to SALGA for a Period of 36 x Months (SALGA/75/2019),,N/A,open,175 Corobay Avenue - Waterkloof Glen - Pretoria - 0181,0,ZAR,2021-04-02T11:00:00Z,2019-02-15T00:00:00Z,Moses Magolego,scm@salga.org.za,012-369-8000,0001-01-01T00:00:00Z,N/A,false,false,611,South African Local Government Association,, - ,012-369-8001
