id,tag,date,ocid,initiationType,language,buyer_id,buyer_name,tender_id,tender_title,tender_mainProcurementCategory,tender_status,tender_category,tender_province,tender_additionalProcurementCategories,tender_procurementMethodDetails,tender_description,tender_specialConditions,tender_procurementMethod,tender_deliveryLocation,tender_value_amount,tender_value_currency,tender_tenderPeriod_endDate,tender_tenderPeriod_startDate,tender_contactPerson_name,tender_contactPerson_email,tender_contactPerson_telephoneNumber,tender_briefingSession_date,tender_briefingSession_venue,tender_briefingSession_isSession,tender_briefingSession_compulsory,tender_procuringEntity_id,tender_procuringEntity_name,planning_rationale,planning_budget_description,tender_contactPerson_faxNumber
ocds-9t57fa-102049-2020-02-28T00:00:00Z,compiled,2020-02-28T00:00:00Z,ocds-9t57fa-102049,tender,en-za,309,Kwazulu Natal - Education,102049,ZNB 0031E/2019/2020,services,complete,Administrative and support activities,KwaZulu-Natal,services,Request for Bid(Open-Tender),"APPOINTMENT OF A PENEL OF TRAINING SERVICE PROVIDERS FOR THE PROVISION OF TRAINING OF SUBJECTS ADVISORS OF CPNTENT SUBJECTS, {OTHER THAN MATHEMATICS, PHYSICAL SCIENCE ANDTECHNOLOGY (MST) SUBJECTS} ON INFORMATION AND COMMUNICATIONS TECHNOLOGY (ICT) INTERGRATION WITH CURRICULUM FOR A PERIOD OF THIRTY-SIX (36) MONTHS FOR THE KWAZULU NATAL DEPARTMENT OF EDUCATION ",N/A,open,PIETERMARITZ STREET - PIETERMARITZBURG - PIETERMARITZBURG - 3200,0,ZAR,2020-03-20T11:00:00Z,2020-02-28T00:00:00Z,NOLWAZI,Nolwazi.Ntshaba@kzndoe.gov.za,033-846-5517,0001-01-01T00:00:00Z,N/A,false,false,309,Kwazulu Natal - Education,, - ,
ocds-9t57fa-112650-2020-07-10T00:00:00Z,compiled,2020-07-10T00:00:00Z,ocds-9t57fa-112650,tender,en-za,306,Kwazulu Natal - Department of Agriculture and Rural Develeopment,112650,DARD09/20A,services,active,Other service activities,KwaZulu-Natal,services,Request for Bid(Open-Tender),Appointment of a service provider to oversee the implementation of the Agri-hubs,N/A,open,01 CEDARA ROAD  - Cedara - Pietermaritzburg - 3201,0,ZAR,2021-04-16T11:00:00Z,2020-07-10T00:00:00Z,Nozizwe Makaula,nozizwe.makaula@kzndard.gov.za,033-355-9109,2021-04-16T10:00:00Z,Cedara Auditorium,true,true,306,Kwazulu Natal - Department of Agriculture and Rural Develeopment,, - ,
ocds-9t57fa-2091-2020-12-02T00:00:00Z,compiled,2020-12-02T00:00:00Z,ocds-9t57fa-2091,tender,en-za,382,Market Theatre Foundation,2091,MTF 01/11/2020,services,active,Services: General,National,services,Request for Quotation,Appointment of a service provider for provision of Professional Quantity Survey services for Barney Simon Theatre refurbishment   MTF 01/11/2020,N/A,open, -  -  - ,0,ZAR,2021-01-22T00:00:00Z,2020-12-02T00:00:00Z,Busisiwe Hlongwani,Busisiweh@markettheatre.co.za,011 832 1641,0001-01-01T00:00:00Z,N/A,false,false,382,Market Theatre Foundation,, - ,
ocds-9t57fa-2462-2020-12-29T00:00:00Z,compiled,2020-12-29T00:00:00Z,ocds-9t57fa-2462,tender,en-za,539,PetroSA,2462,AHT24388,services,active,Services: General,National,services,Request for Proposal,DELL/EMC NETWORKER MAINTENANCE AND SUPPORT,N/A,open, -  -  - ,0,ZAR,2021-01-21T00:00:00Z,2020-12-29T00:00:00Z,Caroline Widmer,caroline.widmer@petrosa.co.za,021 929 3006,0001-01-01T00:00:00Z,N/A,false,false,539,PetroSA,, - ,
ocds-9t57fa-30559-2020-02-14T00:00:00Z,compiled,2020-02-14T00:00:00Z,ocds-9t57fa-30559,tender,en-za,281,Justice & Constitutional Development,30559,RFB 2019 12,services,active,Information and communication,National,services,Request for Proposal,"APPOINTMENT OF A SERVICE PROVIDER FOR THE SUPPLY, DELIVERY AND INSTALLATION OF 283 PABX SYSTEM INCLUSIVE OF 5 YEARS WARRANTY AND 3 YEARS MAINTENANCE AND SUPPORT FOR DOJ&CD",N/A,open,"329 PRETORIUS STREET, MOMENTUM CENTRE - PRETORIA - PRETORIA - 0001",0,ZAR,2021-04-01T11:00:00Z,2020-02-14T00:00:00Z,Supply Chain Management,SCM@justice.gov.za,012-315-1111,2021-04-01T11:00:00Z,DOJ&CD,true,true,281,Justice & Constitutional Development,, - ,
ocds-9t57fa-32128-2020-07-24T00:00:00Z,compiled,2020-07-24T00:00:00Z,ocds-9t57fa-32128,tender,en-za,281,Justice & Constitutional Development,32128,RFB 2020 04,services,active,Information and communication,National,services,Request for Proposal,PROVISION OF REGIONAL SUPPORT SERVICES FOR THE DEPARTMENT OF JUSTICE AND CONSTITUTIONAL DEVELOPMENT,N/A,open,329 Pretorius street - Pretoria Central - Pretoria - 0002,0,ZAR,2021-04-01T11:00:00Z,2020-07-24T00:00:00Z,Supply Chain Management,scm@justice.gov.za,012-315-1111,0001-01-01T00:00:00Z,N/A,false,false,281,Justice & Constitutional Development,, - ,
ocds-9t57fa-41437-2020-02-14T00:00:00Z,compiled,2020-02-14T00:00:00Z,ocds-9t57fa-41437,tender,en-za,345,Limpopo - Agriculture,41437,ACDP 19/12-1,services,active,Other service activities,Limpopo,services,Request for Bid(Open-Tender),"Supply, delivery and offloading of fertilizers for Limpopo Department of Agriculrute and Rural Development period (3) three years
",N/A,open,67/69 BICCARD STREET - POLOKWANE - POLOKWANE - 0700,0,ZAR,2021-04-30T11:00:00Z,2020-02-14T00:00:00Z,MATODZI SYLIVIA,matodzis@agric.limpopo.gov.za,015-294-3351,2021-04-01T10:00:00Z,"67-69 BICCARD STREET, AGRIVILLAGE 1, LDARD",true,true,345,Limpopo - Agriculture,, - ,
ocds-9t57fa-44998-2020-10-09T00:00:00Z,compiled,2020-10-09T00:00:00Z,ocds-9t57fa-44998,tender,en-za,345,Limpopo - Agriculture,44998,ACDP 19/15,services,active,Food and beverage service activities,Limpopo,services,Request for Bid(Open-Tender),CATERING AND LEASING OF TUCKSHOP SERVICES AT MADZIVHNDILA COLLEGE OF AGRICULTURE AT THE LIMPOPO DEPARTMENT OF AGRICULTURE AND RURAL DEVELOPMENT FOR THE PERIOD OF 3YRS,N/A,open,67/69 BICCARD STREET - POLOKWANE - POLOKWANE - 0699,0,ZAR,2021-04-01T11:00:00Z,2020-10-09T00:00:00Z,BALOYI T,tintswalob@gmail.com,015-962-7215,0001-01-01T00:00:00Z,N/A,false,false,345,Limpopo - Agriculture,, - ,
ocds-9t57fa-141100-2020-01-17T00:00:00Z,compiled,2020-01-17T00:00:00Z,ocds-9t57fa-141100,tender,en-za,136,Eastern Cape - Roads and Public Works,141100,SCMU5-19/20-GS0023,services,active,Other service activities,Eastern Cape,services,Request for Bid(Open-Tender),"IMPLEMENTATION OF INTEGRATED SHARED SAVINGS CONTRACTS (ISSC) PROGRAMME (RELATED TO ENERGY, WATER, RATES, TAXES AND WASTE MANAGEMENT) ON FACILITIES OWNED BY THE EASTERN CAPE PROVINCIAL GOVERNMENT: DEPARTMENT OF PUBLIC WORK",N/A,open,QHASANA BUILDING - BHISHO - BHISHO - 5605,0,ZAR,2020-02-19T11:00:00Z,2020-01-17T00:00:00Z, Mr H. Simon,hewitt.simon@ecdpw.gov.za,040-602-4436,2020-02-05T11:00:00Z," Bhisho Contact Centre, next to Bhisho Stadium",true,true,136,Eastern Cape - Roads and Public Works,, - ,
ocds-9t57fa-147886-2020-08-09T00:00:00Z,compiled,2020-08-09T00:00:00Z,ocds-9t57fa-147886,tender,en-za,167,ESKOM,147886,E1146GXMPCAMR,goods,complete,Supplies: General,Mpumalanga,goods,Request for Bid(Open-Tender),"Publication of award/regret letter: the supply and delivery of laboratory Chemicals, Diphoterine and glassware on basis of as and when required for the period of 60 months at Camden Power Station",N/A,open,Camden Power station - Ermelo - Ermelo - 2350,0,ZAR,2025-05-12T10:00:00Z,2020-08-09T00:00:00Z,Charlene  Nkosi,nkosicnh@eskom.co.za,017-827-8331,0001-01-01T00:00:00Z,N/A,false,false,167,ESKOM,, - ,
