id,tag,date,ocid,initiationType,language,buyer_id,buyer_name,tender_id,tender_title,tender_procurementMethodDetails,tender_status,tender_category,tender_province,tender_additionalProcurementCategories,tender_description,tender_mainProcurementCategory,tender_specialConditions,tender_procurementMethod,tender_deliveryLocation,tender_value_amount,tender_value_currency,tender_tenderPeriod_endDate,tender_tenderPeriod_startDate,tender_contactPerson_name,tender_contactPerson_email,tender_contactPerson_faxNumber,tender_contactPerson_telephoneNumber,tender_briefingSession_date,tender_briefingSession_venue,tender_briefingSession_isSession,tender_briefingSession_compulsory,tender_procuringEntity_id,tender_procuringEntity_name,planning_rationale,planning_budget_description
ocds-9t57fa-105086-2021-04-08T00:00:00Z,compiled,2021-04-08T00:00:00Z,ocds-9t57fa-105086,tender,en-za,624,South African Revenue Service,105086,6000025322,Request for Quotation,cancelled,"Waste collection, treatment and disposal activities; materials recovery",Eastern Cape,services,Waste Management Services for a period of 12 months,services,N/A,open,N2 Durban Road - North Crest - Mthatha - 5100,0,ZAR,2024-04-23T11:00:00Z,2021-04-08T00:00:00Z,Pamela Barton,accounts@tatawaste.co.za,047-531-1429,082-829-3825,2024-04-11T11:00:00Z,Waverly Park Building - EL,true,true,624,South African Revenue Service,, - 
ocds-9t57fa-122728-2021-03-12T00:00:00Z,compiled,2021-03-12T00:00:00Z,ocds-9t57fa-122728,tender,en-za,128,Eastern Cape - Education,122728,SCMU6-20/21-0007.,Request for Bid(Open-Tender),active,Information and communication,Eastern Cape,services,To source a SITA RFB1183 accredited service providers with expertise and capacity in the provisioning of ICT services .,services,N/A,open,"STEVE TSHWETE COMOPLEX, ZWELITSHA, ZONE 6 - ZWELITSHA - KING WILLAMS TOWN - 5605",0,ZAR,2021-04-15T11:00:00Z,2021-03-12T00:00:00Z,Pakamile Nxozana,pakamile.nxozana@ecdoe.gov.za,,040-608-4743,0001-01-01T00:00:00Z,Mandatory Briefing Session will be held at Mandla Makhuphula Institute (East London) ,false,false,128,Eastern Cape - Education,, - 
ocds-9t57fa-14259-2021-12-15T00:00:00Z,compiled,2021-12-15T00:00:00Z,ocds-9t57fa-14259,tender,en-za,534,Passenger Rail Agency of South Africa,14259,29/11/2021/GAU-(PERWAY),Request for Proposal,complete,Supplies: General,Gauteng,goods,Appointment of service provider for the supply and delivery of concrete sleepers and fastenings in the Gauteng Region on an “as and when” required basis for a period of 36 months,goods,"1. Minutes and updated bid document uploaded on the 23 January 2022. bidders who attended a compulsory briefing session must response with amended bid document.
2. Questions and Answers uploaded.",open,SHOSHOLOZA JUCTION; 6TH Ground FLOOR; CNR LEYDS AND SIMMONDS - BRAAMFONTEIN  - JOHANNESBURG - 2001,0,ZAR,2022-02-18T12:00:00Z,2021-12-15T00:00:00Z,Ms. Gloria Mokgobi,Gloria.Mokgobi@prasa.com,,011-013-0343,2022-01-13T13:00:00Z,Click here to join the meeting ,true,true,534,Passenger Rail Agency of South Africa,, - 
ocds-9t57fa-14261-2021-12-15T00:00:00Z,compiled,2021-12-15T00:00:00Z,ocds-9t57fa-14261,tender,en-za,567,Road Traffic Management Corporation,14261,RTMC BID 17/2021/22,Request for Proposal,cancelled,Financial and insurance activities,National,services,APPOINTMENT OF A SERVICE PROVIDER FOR PROVISION OF INSURANCE SERVICES TO THE RTMC FOR A PERIOD OF FIVE (5) YEARS,services,"Bidders are required to register for a compulsory briefing session by submitting the Company name, CSD Registration number (i.e. MAAA...), Name, Surname and contact number of the representative to Bidadmin@rtmc.co.za by not later than 12 January 2022 at 14:00 in order to be eligible to participate in the compulsory briefing session and bid process. ",open,"349 Witch-Hazel Street - Centurion, Highveld Ext 79 - Petroria - 0157",0,ZAR,2022-02-04T00:00:00Z,2021-12-15T00:00:00Z,Nonzukiso Noveve,bidadmin@rtmc.co.za,012-999-5200,012-999-5200,2022-01-14T10:00:00Z,MS TEAMS,true,true,567,Road Traffic Management Corporation,, - 
ocds-9t57fa-14270-2021-12-15T00:00:00Z,compiled,2021-12-15T00:00:00Z,ocds-9t57fa-14270,tender,en-za,167,ESKOM,14270,ERI/2022/BMS/01,Request for Proposal,complete,Other personal service activities,National,services,"The appointment of Multi-disciplinary Engineering Entities / Professional services
providers to provide hands on Maintenance and or Project management on the job
training / skills transfer for Eskom Rotek Industries at various sites",services,N/A,open,Hunslet - Rosherville - GERMISTON - ,0,ZAR,2022-01-31T10:00:00Z,2021-12-15T00:00:00Z,Kushandra Krishna,krishnk@eskom.co.za,,011-629-4894,2022-01-12T10:00:00Z,Click here to join the meeting,true,false,167,ESKOM,, - 
ocds-9t57fa-14276-2021-12-15T00:00:00Z,compiled,2021-12-15T00:00:00Z,ocds-9t57fa-14276,tender,en-za,1,Abaqulusi Local Municipality,14276,8/2/1/459,Request for Bid(Limited-Tender,complete,Legal and accounting activities,KwaZulu-Natal,consultingServices,PANEL OF ATTORNEYS FOR THE PERIOD OF 36 MONTHS,,No bid will be awarded to a person in the service of the state and non compliant on Tax matters.,limited,"Tender Box, Corner of Mark and High Street - Vryheid - Vryheid - 3100",0,ZAR,2022-01-13T12:00:00Z,2021-12-15T00:00:00Z,Mr N Masango,nmasango@abaqulusi.gov.za,,034-982-2133,0001-01-01T00:00:00Z,N/A,false,false,1,Abaqulusi Local Municipality,, - 
ocds-9t57fa-14281-2021-12-15T00:00:00Z,compiled,2021-12-15T00:00:00Z,ocds-9t57fa-14281,tender,en-za,495,North West - Department of Social Development,14281,NW/DSD/30/2021,Request for Bid(Open-Tender),complete,Services: Professional,North West,consultingServices,Appointment of Duly Authorized Service Provider for the Provision of Pre-Qualified List of Contractors for a period of 24 months,,N/A,open,"1st Floor University, Provident House Building - Mmabatho - Mmabatho - 2735",0,ZAR,2022-01-31T11:00:00Z,2021-12-15T00:00:00Z,Mr J Mnguni & Mr O Kgobokoe,gmoholo@nwpg.gov.za,,018-388-1625,0001-01-01T00:00:00Z,N/A,false,false,495,North West - Department of Social Development,, - 
ocds-9t57fa-14288-2021-12-15T00:00:00Z,compiled,2021-12-15T00:00:00Z,ocds-9t57fa-14288,tender,en-za,1,Abaqulusi Local Municipality,14288,8/2/1/204,Request for Proposal,complete,Residential care activities,KwaZulu-Natal,services,PROVISION OF REFUSE REMOVAL SERVICES AT EMONDLO AND EASTERN CLUSTER AREAS FOR THE PERIOD OF 36 MONTHS,services,No bid will be awarded to a person in the service of the state and non compliant on Tax matters,open,"Tender Box, Corner of Mark and High Street - Vryheid - Vryheid - 3100",0,ZAR,2022-01-14T12:00:00Z,2021-12-15T00:00:00Z,ZD Gumbi,zdgumbi@abaqulusi.gov.za,,034-982-2133,0001-01-01T00:00:00Z,N/A,false,false,1,Abaqulusi Local Municipality,, - 
ocds-9t57fa-14308-2021-12-15T00:00:00Z,compiled,2021-12-15T00:00:00Z,ocds-9t57fa-14308,tender,en-za,7,Agricultural Sector Education and Training Authority,14308,AGRISETA/07/2021,Request for Proposal,cancelled,Rental and leasing activities,Gauteng,services,REQUEST FOR PROPOSALS FOR OFFICE RENTAL SPACE AND PARKING BAYS FOR AGRISETA IN THE TSHWANE AREA FOR A PERIOD OF THREE (3) YEARS.,services,N/A,open,"AgriSETA House 529 Belvedere Street, Arcadia, 0083 - Arcadia - Pretoria - 0083",0,ZAR,2022-02-08T11:00:00Z,2021-12-15T00:00:00Z,Tebogo,tebogom@agriseta.co.za,,012-301-5600,2022-01-19T11:00:00Z,https://agriseta-co-za.zoom.us/j/96556537253?pwd=ekZKek9CaHFwbTZlUjVoaiswaVI3Zz09,true,false,7,Agricultural Sector Education and Training Authority,, - 
ocds-9t57fa-14331-2021-12-15T00:00:00Z,compiled,2021-12-15T00:00:00Z,ocds-9t57fa-14331,tender,en-za,6,Agricultural Research Council,14331,ARC/30/12/2021,Request for Bid(Open-Tender),active,Administrative and support activities,Gauteng,services,Process Engineering Services for the Foot and Mouth Disease factory at OVR.,services,Failure to attend the compulsory briefing session will disqualify your company.  The briefing session will not allow prospective bidders who are 15 minutes late into the auditorium.,open,100 Old Soutpan Road - Onderstepoort - Pretoria - ,0,ZAR,2022-02-11T11:00:00Z,2021-12-15T00:00:00Z,Musa Zondo,zondomp@arc.agric.za,,012-427-9733,2022-01-28T11:00:00Z,"100 Old Southpan Road, Onderstepoort, Pretoria",true,true,6,Agricultural Research Council,, - 
ocds-9t57fa-14430-2021-12-29T00:00:00Z,compiled,2021-12-29T00:00:00Z,ocds-9t57fa-14430,tender,en-za,70,Commission for Conciliation Mediation & Arbitration,14430,CCMADIV-18-86,Request for Proposal,complete,Administrative and support activities,Gauteng,services,"A Deviation for Advanced Trial Advocacy Training for the Directors Office
",services,N/a,open,28 Harisson street - Braamfontein - Braamfontein - 0200,0,ZAR,2021-12-29T11:00:00Z,2021-12-29T00:00:00Z,Freddy Sello Monama,FreddyM@ccma.org.za,,011-377-6952,0001-01-01T00:00:00Z,N/A,false,false,70,Commission for Conciliation Mediation & Arbitration,, - 
ocds-9t57fa-14431-2021-12-29T00:00:00Z,compiled,2021-12-29T00:00:00Z,ocds-9t57fa-14431,tender,en-za,70,Commission for Conciliation Mediation & Arbitration,14431,CCMA-VA-19-74,Request for Bid(Open-Tender),complete,Administrative and support activities,Gauteng,services,"A variation for Disaster Recovery (DRAAS) & backup (BAAS) by SGT Solutions (Pty) Ltd

",services,N/A,open,28 Harisson street - Braamfontein - Braamfontein - ,0,ZAR,2021-12-29T11:00:00Z,2021-12-29T00:00:00Z,Freddy Sello Monama,FreddyM@ccma.org.za,,011-377-6952,0001-01-01T00:00:00Z,N/A,false,false,70,Commission for Conciliation Mediation & Arbitration,, - 
