id,name,main_ocid,main_id,tender_id
12580,MAAA0004512; MAAA0238993; MAAA0572062,ocds-9t57fa-66026,ocds-9t57fa-66026-2021-04-01T00:00:00Z,66026
1752,Courtesy Management (Pty) Ltd,ocds-9t57fa-12253,ocds-9t57fa-12253-2021-11-19T00:00:00Z,12253
3437,TFM (The Future of Motion),ocds-9t57fa-12967,ocds-9t57fa-12967-2021-11-26T00:00:00Z,12967
1720,No Bids Received,ocds-9t57fa-13494,ocds-9t57fa-13494-2021-12-03T00:00:00Z,13494
1373,Eikestad Towing,ocds-9t57fa-2807,ocds-9t57fa-2807-2021-06-25T00:00:00Z,2807
144,Unified Risk Management,ocds-9t57fa-3524,ocds-9t57fa-3524-2021-07-09T00:00:00Z,3524
173,Synergy Realty t/a Prop Masters,ocds-9t57fa-3736,ocds-9t57fa-3736-2021-07-23T00:00:00Z,3736
103,1. MVD Kalahari 2. BDO Advisory Services,ocds-9t57fa-3761,ocds-9t57fa-3761-2021-07-23T00:00:00Z,3761
246,Sithabile Technology Services (Pty) Ltd,ocds-9t57fa-4015,ocds-9t57fa-4015-2021-07-30T00:00:00Z,4015
256,Mico Construction (Pty) Ltd,ocds-9t57fa-4766,ocds-9t57fa-4766-2021-08-13T00:00:00Z,4766
3277,"XL Aerocity Travel,  Dorema/Ultimate Travel, Atlantis Corporate Travel, Travel with Flair Johannesburg, Clubcorporate Travel  and  Gemini moon Trading 7",ocds-9t57fa-5679,ocds-9t57fa-5679-2021-08-27T00:00:00Z,5679
2647,1. Re Mo Cleaning Services,ocds-9t57fa-6438,ocds-9t57fa-6438-2021-09-17T00:00:00Z,6438
3154,Thabia Consulting (Pty) Ltd t/a PWD XPERTS,ocds-9t57fa-6641,ocds-9t57fa-6641-2021-09-10T00:00:00Z,6641
549,medical plant,ocds-9t57fa-6657,ocds-9t57fa-6657-2021-09-17T00:00:00Z,6657
3099,Moteki  Projects and consultants ,ocds-9t57fa-9396,ocds-9t57fa-9396-2021-10-15T00:00:00Z,9396
2230,None ,ocds-9t57fa-9821,ocds-9t57fa-9821-2021-10-22T00:00:00Z,9821
748,Nu-Law Firearms Compliance Pty Ltd,ocds-9t57fa-9895,ocds-9t57fa-9895-2021-10-22T00:00:00Z,9895
539,TFM Industries (The Future of Motion),ocds-9t57fa-2244,ocds-9t57fa-2244-2021-06-11T00:00:00Z,2244
10,Palmer Dev Group (PDG); Complan Town & Regional Planners; Pacesetter Consulting & Advisory,ocds-9t57fa-2317,ocds-9t57fa-2317-2021-06-11T00:00:00Z,2317
106,Zutari (Pty) Ltd; Enterprises University of Pretoria (Pty) Ltd; Profteam (Pty) Ltd,ocds-9t57fa-2501,ocds-9t57fa-2501-2021-06-18T00:00:00Z,2501
2229,MAAA0002421,ocds-9t57fa-2655,ocds-9t57fa-2655-2021-06-25T00:00:00Z,2655
11375,Datacentrix BCX Sizwe Africa IT Group Altron Systems Integrations XON Systems Gijijma Holding (Pty) Ltd,ocds-9t57fa-31510,ocds-9t57fa-31510-2021-04-30T00:00:00Z,31510
1180,KERRI-JANE BJERGFELT,ocds-9t57fa-3593,ocds-9t57fa-3593-2021-07-09T00:00:00Z,3593
3489,Izinyoni Trading 54cc,ocds-9t57fa-6679,ocds-9t57fa-6679-2021-09-11T00:00:00Z,6679
2024,Ekurhuleni Artisan and Skills Training Centre (Pty) Ltd,ocds-9t57fa-8730,ocds-9t57fa-8730-2021-10-09T00:00:00Z,8730
152,Centre for Occupational and wellness Services,ocds-9t57fa-954,ocds-9t57fa-954-2021-05-14T00:00:00Z,954
2954,Club Corporate Travel (Pty) Ltd t/a Club Travel Corporate,ocds-9t57fa-7641,ocds-9t57fa-7641-2021-09-23T00:00:00Z,7641
3564,Guerrini Marine Construction CC,ocds-9t57fa-10067,ocds-9t57fa-10067-2021-10-29T00:00:00Z,10067
1650,Yavi Madurai,ocds-9t57fa-10447,ocds-9t57fa-10447-2021-10-29T00:00:00Z,10447
1647,Qhawelesizwe Holomo,ocds-9t57fa-10447,ocds-9t57fa-10447-2021-10-29T00:00:00Z,10447
19259,Coldpoint Aircon Services cc,ocds-9t57fa-11504,ocds-9t57fa-11504-2021-11-12T00:00:00Z,11504
1844,Cape Seating Manufacturers CC,ocds-9t57fa-11611,ocds-9t57fa-11611-2021-11-12T00:00:00Z,11611
1843,Brian and Ben Supplies CC,ocds-9t57fa-11611,ocds-9t57fa-11611-2021-11-12T00:00:00Z,11611
1758,Potts Devco (Pty) Ltd,ocds-9t57fa-12289,ocds-9t57fa-12289-2021-11-19T00:00:00Z,12289
1763,Pancare Property Services,ocds-9t57fa-12289,ocds-9t57fa-12289-2021-11-19T00:00:00Z,12289
1787,LISAPHELELE INVESTMENTS JV NASE CONSTRUCTION,ocds-9t57fa-12689,ocds-9t57fa-12689-2021-11-26T00:00:00Z,12689
3466,Civik Construction and Plant Hire CC,ocds-9t57fa-14031,ocds-9t57fa-14031-2021-12-10T00:00:00Z,14031
580,Fidelity Cash Solutions,ocds-9t57fa-2287,ocds-9t57fa-2287-2021-06-11T00:00:00Z,2287
582,ABSA,ocds-9t57fa-2287,ocds-9t57fa-2287-2021-06-11T00:00:00Z,2287
3417,HLT ADVISORS T/A AFRICA INTERNATIONAL ADVISORS,ocds-9t57fa-253,ocds-9t57fa-253-2021-04-29T00:00:00Z,253
2761,Legit Security Solutions CC,ocds-9t57fa-3058,ocds-9t57fa-3058-2021-07-02T00:00:00Z,3058
2773,Rising Star Protection Services CC,ocds-9t57fa-3058,ocds-9t57fa-3058-2021-07-02T00:00:00Z,3058
2759,Ijaba Integrated Security Services (Pty) Ltd,ocds-9t57fa-3058,ocds-9t57fa-3058-2021-07-02T00:00:00Z,3058
16439,Ubukhoni CC,ocds-9t57fa-4794,ocds-9t57fa-4794-2021-08-13T00:00:00Z,4794
536,Infinity Training Group (Pty) Ltd,ocds-9t57fa-5091,ocds-9t57fa-5091-2021-08-20T00:00:00Z,5091
4558,MDP Consultants,ocds-9t57fa-5357,ocds-9t57fa-5357-2021-08-27T00:00:00Z,5357
4576,Samba Solutions,ocds-9t57fa-5357,ocds-9t57fa-5357-2021-08-27T00:00:00Z,5357
4569,Masegare and Associates Incorporated,ocds-9t57fa-5357,ocds-9t57fa-5357-2021-08-27T00:00:00Z,5357
935,Geo-Vul Constructions and General Trading,ocds-9t57fa-5740,ocds-9t57fa-5740-2021-08-27T00:00:00Z,5740
944,Vunani Investment,ocds-9t57fa-5740,ocds-9t57fa-5740-2021-08-27T00:00:00Z,5740
