id,name,main_ocid,main_id,awards_id
9276, (BIDVEST OFFICE),ocds-9t57fa-101990,ocds-9t57fa-101990-2022-12-23T00:00:00Z,35237
0,ORIZOE SERVICES,ocds-9t57fa-21546,ocds-9t57fa-21546-2022-04-29T00:00:00Z,2604
0,Indalo Group and Design,ocds-9t57fa-43633,ocds-9t57fa-43633-2022-12-15T00:00:00Z,10607
0,Funezakho Construction Contractor,ocds-9t57fa-43636,ocds-9t57fa-43636-2022-12-15T00:00:00Z,10612
0,LISHEMEMI TRADING AND PROJECTS,ocds-9t57fa-43691,ocds-9t57fa-43691-2022-12-15T00:00:00Z,16950
0,AMANANDA TRADING,ocds-9t57fa-43967,ocds-9t57fa-43967-2022-12-21T00:00:00Z,13530
0,NEO TECHNOLOGIES,ocds-9t57fa-50704,ocds-9t57fa-50704-2022-12-15T00:00:00Z,9840
0,CHARL WENUM,ocds-9t57fa-14868,ocds-9t57fa-14868-2022-01-21T00:00:00Z,3362
0,RAMCOM CAPE,ocds-9t57fa-15243,ocds-9t57fa-15243-2022-01-21T00:00:00Z,4605
0,ARUP ,ocds-9t57fa-15256,ocds-9t57fa-15256-2022-01-21T00:00:00Z,2886
0,FeverTreeConsulting,ocds-9t57fa-15307,ocds-9t57fa-15307-2022-01-21T00:00:00Z,4495
0,BATALALA CONSULTING ENGINEERS,ocds-9t57fa-16699,ocds-9t57fa-16699-2022-02-04T00:00:00Z,6174
0,LT Clinical Research,ocds-9t57fa-17292,ocds-9t57fa-17292-2022-02-11T00:00:00Z,3193
0,Medinel,ocds-9t57fa-17292,ocds-9t57fa-17292-2022-02-11T00:00:00Z,3212
0,SLR CONSULTING (SOUTH AFRICA),ocds-9t57fa-17962,ocds-9t57fa-17962-2022-02-18T00:00:00Z,11595
0,BLU TRANSFUXION LOGISTICS SOLUTION,ocds-9t57fa-18035,ocds-9t57fa-18035-2022-02-18T00:00:00Z,4135
0,QED-Quality Executive Development,ocds-9t57fa-18099,ocds-9t57fa-18099-2022-02-18T00:00:00Z,3659
0,FTA ENTERPRISES,ocds-9t57fa-18736,ocds-9t57fa-18736-2022-02-25T00:00:00Z,3253
0,PTV AFRICA,ocds-9t57fa-19184,ocds-9t57fa-19184-2022-03-11T00:00:00Z,1536
0,CAB HOLDINGS,ocds-9t57fa-19461,ocds-9t57fa-19461-2022-03-18T00:00:00Z,3031
0,TOLPLAN,ocds-9t57fa-19659,ocds-9t57fa-19659-2022-03-25T00:00:00Z,6116
0,MBONGO GROUP,ocds-9t57fa-19700,ocds-9t57fa-19700-2022-03-25T00:00:00Z,10608
0,MARTIN AND EAST,ocds-9t57fa-19916,ocds-9t57fa-19916-2022-04-01T00:00:00Z,3465
0,STELLENBOSCH PREMIER MANUFACTURERS,ocds-9t57fa-20227,ocds-9t57fa-20227-2022-04-08T00:00:00Z,16356
0,EPC CONSUMABLES,ocds-9t57fa-20388,ocds-9t57fa-20388-2022-04-14T00:00:00Z,4369
0,A-THERMAL RESOURCES,ocds-9t57fa-20402,ocds-9t57fa-20402-2022-04-14T00:00:00Z,4596
0,SILVER LAKE TRADING 305,ocds-9t57fa-20408,ocds-9t57fa-20408-2022-04-14T00:00:00Z,3497
