id,title,description,status,value_amount,value_currency,main_ocid,main_id
13051,RAALEBBORG ENVIRONMENTAL,QSE,active,0,ZAR,ocds-9t57fa-49185,ocds-9t57fa-49185-2023-03-17T00:00:00Z
13882,LAST SAMURAI PROPERTY HOLDINGS 2,EME,active,0,ZAR,ocds-9t57fa-49437,ocds-9t57fa-49437-2023-03-17T00:00:00Z
13000,NSI GEOMATICS,EME,active,0,ZAR,ocds-9t57fa-49401,ocds-9t57fa-49401-2023-03-17T00:00:00Z
27274, (SKHUNYANA TRAINING CONSULTANTS),EME,active,4795741.0,ZAR,ocds-9t57fa-49672,ocds-9t57fa-49672-2023-03-18T00:00:00Z
30608, (R R N REMOVALS),EME,active,1.0,ZAR,ocds-9t57fa-77670,ocds-9t57fa-77670-2023-12-19T00:00:00Z
23696,EXEO KHOKELA CIVIL ENGINEERING CONSTRUCTION,EME,active,503200.0,ZAR,ocds-9t57fa-77686,ocds-9t57fa-77686-2023-12-21T00:00:00Z
14308,MAJALISA ONKE CONSTRUCTION AND TRADING,EME,active,0,ZAR,ocds-9t57fa-44042,ocds-9t57fa-44042-2023-01-05T00:00:00Z
20074,SAKHIMTHE CIVIL CONSTRUCTION,EME,active,5672884.0,ZAR,ocds-9t57fa-44073,ocds-9t57fa-44073-2023-01-05T00:00:00Z
9991,aQmetriq,EME,active,0.0,ZAR,ocds-9t57fa-44079,ocds-9t57fa-44079-2023-01-06T00:00:00Z
10985,Prestige Conferences,EME,active,0.0,ZAR,ocds-9t57fa-44413,ocds-9t57fa-44413-2023-01-13T00:00:00Z
9902,UHAMBO PROCUREMENT AND DISTRIBUTION,EME,active,0.0,ZAR,ocds-9t57fa-45278,ocds-9t57fa-45278-2023-01-27T00:00:00Z
11814,Rain Chartered Accountants,QSE,active,0,ZAR,ocds-9t57fa-45309,ocds-9t57fa-45309-2023-01-27T00:00:00Z
16593,WE RENDER,EME,active,0,ZAR,ocds-9t57fa-45676,ocds-9t57fa-45676-2023-02-03T00:00:00Z
12115,Prana Water and Sanitation,EME,active,0,ZAR,ocds-9t57fa-46045,ocds-9t57fa-46045-2023-02-10T00:00:00Z
13055,BERNINA JENNIFER AFRICA,EME,active,0,ZAR,ocds-9t57fa-46061,ocds-9t57fa-46061-2023-02-10T00:00:00Z
10769,LEGACY MARINE,QSE,active,0.0,ZAR,ocds-9t57fa-46071,ocds-9t57fa-46071-2023-02-10T00:00:00Z
12584,HLT Advisors,QSE,active,0,ZAR,ocds-9t57fa-46658,ocds-9t57fa-46658-2023-02-17T00:00:00Z
12200,Khulangwane Trading,EME,active,0,ZAR,ocds-9t57fa-46773,ocds-9t57fa-46773-2023-02-17T00:00:00Z
11371,KROMPOORT GAME RESERVE,EME,active,0,ZAR,ocds-9t57fa-46808,ocds-9t57fa-46808-2023-02-17T00:00:00Z
11512,NMI DURBAN SOUTH MOTORS,EME,active,758815.17,ZAR,ocds-9t57fa-46814,ocds-9t57fa-46814-2023-02-17T00:00:00Z
13779,ULTIMATE VACUUM SOLUTIONS,EME,active,0,ZAR,ocds-9t57fa-46846,ocds-9t57fa-46846-2023-02-17T00:00:00Z
15219,GOGONTLE SECURITY AND MAINTANANCY SERVICES,EME,active,0,ZAR,ocds-9t57fa-46877,ocds-9t57fa-46877-2023-02-17T00:00:00Z
20870,GPA CONSULTING AND TRAINING,EME,active,1188000.0,ZAR,ocds-9t57fa-47519,ocds-9t57fa-47519-2023-02-24T00:00:00Z
30035, (ATLANTIS CORPORATE TRAVEL),EME,active,3000000.0,ZAR,ocds-9t57fa-47516,ocds-9t57fa-47516-2023-02-24T00:00:00Z
28080, (ABBOTT LABORATORIES SOUTH AFRICA),EME,active,2829183402.0,ZAR,ocds-9t57fa-47542,ocds-9t57fa-47542-2023-02-24T00:00:00Z
13805,IBHUNGA CLEANING AND BRICKS PAVING AND PAINTING,EME,active,0,ZAR,ocds-9t57fa-48128,ocds-9t57fa-48128-2023-03-03T00:00:00Z
14595,EOH MTHOMBO,GEN,active,0,ZAR,ocds-9t57fa-48159,ocds-9t57fa-48159-2023-03-03T00:00:00Z
18591,COLAS SOUTH AFRICA,EME,active,1779958.0,ZAR,ocds-9t57fa-49469,ocds-9t57fa-49469-2023-03-17T00:00:00Z
16612,AC INDUSTRIAL SALES AND SERVICES,EME,active,0,ZAR,ocds-9t57fa-49494,ocds-9t57fa-49494-2023-03-17T00:00:00Z
12858,MOEVENTS TRADING,EME,active,0,ZAR,ocds-9t57fa-49616,ocds-9t57fa-49616-2023-03-17T00:00:00Z
24850,DEBTMANAGER,EME,active,35468000.0,ZAR,ocds-9t57fa-50017,ocds-9t57fa-50017-2023-03-24T00:00:00Z
28425, (PRIMETIME STUDIOS),EME,active,598000.0,ZAR,ocds-9t57fa-50144,ocds-9t57fa-50144-2023-03-24T00:00:00Z
9829,SANDILE STATIONERS,EME,active,0.0,ZAR,ocds-9t57fa-50667,ocds-9t57fa-50667-2023-02-17T00:00:00Z
13691,KAI MA SERVICES,EME,active,0,ZAR,ocds-9t57fa-50890,ocds-9t57fa-50890-2023-03-31T00:00:00Z
16868,Seers Corp,EME,active,0,ZAR,ocds-9t57fa-50898,ocds-9t57fa-50898-2023-03-31T00:00:00Z
20570,ALUTE SA,EME,active,9000000.0,ZAR,ocds-9t57fa-50961,ocds-9t57fa-50961-2023-03-31T00:00:00Z
15907,Enviro Metsi,EME,active,0,ZAR,ocds-9t57fa-51014,ocds-9t57fa-51014-2023-03-31T00:00:00Z
13933,CARBONCOR DISTRIBUTION SOUTH AFRICA,EME,active,557.0,ZAR,ocds-9t57fa-51859,ocds-9t57fa-51859-2023-04-14T00:00:00Z
13891,STEPHANUS NEL,EME,active,0,ZAR,ocds-9t57fa-51869,ocds-9t57fa-51869-2023-04-14T00:00:00Z
15025,CCG Systems ,EME,active,0,ZAR,ocds-9t57fa-51881,ocds-9t57fa-51881-2023-04-14T00:00:00Z
17508,EZOLIMO TRAINING AND SUPPLY,EME,active,0,ZAR,ocds-9t57fa-51894,ocds-9t57fa-51894-2023-04-14T00:00:00Z
13438,Rethusehile Civils and Trading,QSE,active,0,ZAR,ocds-9t57fa-52239,ocds-9t57fa-52239-2023-04-21T00:00:00Z
14290,FIDELITY CASH SOLUTIONS,EME,active,50128.78,ZAR,ocds-9t57fa-52448,ocds-9t57fa-52448-2023-04-21T00:00:00Z
15454,NJONGO HOLDINGS,EME,active,0,ZAR,ocds-9t57fa-52463,ocds-9t57fa-52463-2023-04-21T00:00:00Z
