id,title,dateSigned,description,status,awardID,value_amount,value_currency,period_endDate,period_startDate,period_maxExtentDate,period_durationInDays,main_ocid,main_id
3001,SCMU6-23/24-0002,2025-02-05T15:15:28Z,"Appointment of service provider (s) for rendering of the secure transportation of High security Examination and Assessment material from Provincial office or dispatch premises to and from all Educational District offices, Nodal points and all marking centers",active,30608,0,ZAR,2027-05-21T00:00:00Z,2024-05-15T00:00:00Z,2027-05-21T00:00:00Z,1101,ocds-9t57fa-77670,ocds-9t57fa-77670-2023-12-19T00:00:00Z
949,3100032929,2023-04-25T06:30:40Z,Procurement Sharegate Standard Software Subscription,active,11022,563,ZAR,2023-02-15T00:00:00Z,2023-02-10T00:00:00Z,2023-02-15T00:00:00Z,5,ocds-9t57fa-52712,ocds-9t57fa-52712-2023-02-10T00:00:00Z
3699,SCMU5-23/24-0050,2025-08-19T08:27:25Z,SUPPLY AND INSTALL SOLAR SYSTEM IN MALUTI OFFICE COMPLEX AT ALFRED NZO ,active,46775,5603375,ZAR,2024-02-28T00:00:00Z,2023-11-01T00:00:00Z,2024-02-28T00:00:00Z,119,ocds-9t57fa-60994,ocds-9t57fa-60994-2023-07-21T00:00:00Z
1148,3100034195,2023-08-29T07:04:55Z,ammunition,active,15569,470460,ZAR,2023-10-31T00:00:00Z,2023-08-08T00:00:00Z,2023-10-31T00:00:00Z,84,ocds-9t57fa-64222,ocds-9t57fa-64222-2023-07-07T00:00:00Z
3003,SCMU5-23/24-0073,2025-02-06T10:53:14Z,"TAYLOR BEQUEST HOSPITAL, MOUNT FLETCHER REFURBISHMENT, REPAIRS, AND UPGRADES TO WATER & WASTEWATER TREATMENT WORKS",active,42630,42481329,ZAR,2025-08-24T00:00:00Z,2024-05-23T00:00:00Z,2025-08-24T00:00:00Z,458,ocds-9t57fa-68151,ocds-9t57fa-68151-2023-09-22T00:00:00Z
2875,DTP01599,2025-01-08T12:04:12Z,Appointment of a service provider for an Integrated Document and Records Management System (IDRMS); including maintenance and support for a period of three (3) years,active,31025,15618288,ZAR,2028-02-29T00:00:00Z,2024-12-01T00:00:00Z,2028-02-29T00:00:00Z,1185,ocds-9t57fa-68729,ocds-9t57fa-68729-2023-09-29T00:00:00Z
2054,01,2024-07-24T14:44:48Z,"Refurbishment of ECDC properties in Butterworth, Cluster F1
EVALUATION CRITERIA: THREE PHASES
PHASE1: LOCAL CONTENT AND PRODUCTION
PHASE2: FUNCTIONALITY
PHASE3: PREFERENTIAL PROCUREMENT POINTS",active,20419,53000,ZAR,2025-05-05T00:00:00Z,2024-02-05T00:00:00Z,2025-05-05T00:00:00Z,455,ocds-9t57fa-69554,ocds-9t57fa-69554-2023-10-06T00:00:00Z
1278,58517,2023-10-12T18:06:36Z,Municipal PMS Training,active,17695,479125,ZAR,2023-09-29T00:00:00Z,2021-06-01T00:00:00Z,2023-09-29T00:00:00Z,850,ocds-9t57fa-69572,ocds-9t57fa-69572-2023-07-07T00:00:00Z
1440,ENG018/2023q,2023-12-19T08:45:24Z,"ENG 018 OF 2023 : SUPPLY AND DELIVERY OF A NEW FIBRE OPTIC FUSION SPLICER KIT
",active,20521,30970,ZAR,2024-06-30T00:00:00Z,2023-12-12T00:00:00Z,2024-06-30T00:00:00Z,201,ocds-9t57fa-69613,ocds-9t57fa-69613-2023-10-06T00:00:00Z
1259,3100034244,2023-10-11T13:14:41Z,RFX6000022608 SUPPLY NEW AIRCON: PRETORIA,active,17611,106080,ZAR,2023-12-28T00:00:00Z,2023-08-01T00:00:00Z,2023-12-28T00:00:00Z,149,ocds-9t57fa-70043,ocds-9t57fa-70043-2023-07-07T00:00:00Z
2204,ZNB106/2023/24HSE,2024-09-09T08:11:01Z,"APPOINTMENT OF A SERVICE PROVIDER TO RENDER 24 HOUR SECURITY GUARDING SERVICES FOR THE KZN DEPARTMENT OF HUMAN SETTLEMENTS AT UMKHANYAKUDE DISTRICT OFFICE, JOZINI, FOR A PERIOD OF 36 MONTHS.",active,26104,2018563,ZAR,2027-08-31T00:00:00Z,2024-09-01T00:00:00Z,2027-08-31T00:00:00Z,1094,ocds-9t57fa-71646,ocds-9t57fa-71646-2023-10-27T00:00:00Z
2378,1Z-26049,2024-10-08T11:24:44Z,Appointment of a suitable service provider to undertake a Learnership Programme in Film and Television Production Operations NQF Level 4 (SAQA ID: 61450) for 20 learners for a period of 18 months,active,35034,599800,ZAR,2027-02-26T00:00:00Z,2024-08-12T00:00:00Z,2027-02-26T00:00:00Z,928,ocds-9t57fa-73486,ocds-9t57fa-73486-2023-11-10T00:00:00Z
2442,7E-23406,2024-10-16T09:55:20Z,Request for Proposals for the leasing of a property situated on Erf 12281 Durban as depicted on SJ Plan No. 4805/9 measuring 81m² for commercial purposes for a period of nine years and eleven months with no right of renewal,active,36766,969150,ZAR,2031-06-30T00:00:00Z,2024-07-31T00:00:00Z,2031-06-30T00:00:00Z,2525,ocds-9t57fa-73514,ocds-9t57fa-73514-2023-11-10T00:00:00Z
1356,3600030314,2023-11-16T15:03:27Z,"RFX: 6000022877 DAY TO DAY MAINTENANCE, PoE MPUMALANGA",active,19511,600000,ZAR,2025-03-17T00:00:00Z,2023-10-02T00:00:00Z,2025-03-17T00:00:00Z,532,ocds-9t57fa-74288,ocds-9t57fa-74288-2023-07-28T00:00:00Z
2950,scmu5-23-24-0096,2025-01-28T11:03:05Z,"CONSTRUCTION OF
UPPER CORANA SENIOR SECONDARY SCHOOL, LIBODE – PHASE 1",active,41944,41482050,ZAR,2025-08-18T00:00:00Z,2024-06-19T00:00:00Z,2025-08-18T00:00:00Z,425,ocds-9t57fa-75365,ocds-9t57fa-75365-2023-11-24T00:00:00Z
1468,3600031165,2024-01-26T09:05:51Z,Day to day Maintenance of Giyani & Sibasa Offices,active,21677,500000,ZAR,2024-12-31T00:00:00Z,2023-12-18T00:00:00Z,2024-12-31T00:00:00Z,379,ocds-9t57fa-79151,ocds-9t57fa-79151-2023-11-10T00:00:00Z
3172,P1/IT/SITA/08/23,2025-03-12T10:33:02Z,RENEWAL OF EXINDA LICENSES FOR A PEERIOD OF THREE YEARS,active,44838,2342343,ZAR,2026-05-04T00:00:00Z,2021-05-05T00:00:00Z,2026-05-04T00:00:00Z,1825,ocds-9t57fa-117294,ocds-9t57fa-117294-2023-10-13T00:00:00Z
3720,SCMU5-23/24-0007,2025-08-21T14:11:47Z,"BID FOR THE APPOINTMENT OF SERVICE PROVIDER TO DEVELOP, MAINTAIN AND SUPPORT AN ELECTRONIC CONTRACTS MANAGEMENT SOLUTION FOR DPWI AS PER SPECIFICATION FOR A PERIOD OF 36 MONTHS ",active,53235,2869979,ZAR,2026-12-12T00:00:00Z,2023-12-13T00:00:00Z,2026-12-12T00:00:00Z,1095,ocds-9t57fa-61666,ocds-9t57fa-61666-2023-07-28T00:00:00Z
2325,1M-26463,2024-10-02T10:51:46Z,Maintenance repairs to roads and stormwater infrastructure as and when required in the ABM areas located within the South Region of eThekwini Municipality for a period of 24 months,active,36042,15208083,ZAR,2026-07-31T00:00:00Z,2024-08-12T00:00:00Z,2026-07-31T00:00:00Z,718,ocds-9t57fa-64759,ocds-9t57fa-64759-2023-08-25T00:00:00Z
1138,3100034312,2023-08-25T09:03:36Z,"Supply and deliver Operator Ergonomic Chairs, Doringkloof",active,15505,310500,ZAR,2023-10-31T00:00:00Z,2023-08-24T00:00:00Z,2023-10-31T00:00:00Z,68,ocds-9t57fa-64785,ocds-9t57fa-64785-2023-08-11T00:00:00Z
1448,T65/2023,2024-01-12T12:51:45Z,PIPE WORK ASSOCIATED WITH NEW FUTURE L’AGULHAS RESERVOIR,active,20883,4951543,ZAR,2024-06-28T00:00:00Z,2024-01-10T00:00:00Z,2024-06-28T00:00:00Z,170,ocds-9t57fa-66466,ocds-9t57fa-66466-2023-09-08T00:00:00Z
2534,1H-24659,2024-11-05T10:25:05Z,Provision of engineering services for the Pilgram X Housing Project,active,37871,75940000,ZAR,2027-06-30T00:00:00Z,2024-06-12T00:00:00Z,2027-06-30T00:00:00Z,1113,ocds-9t57fa-67981,ocds-9t57fa-67981-2023-09-22T00:00:00Z
1939,22/09/2023,2024-06-26T10:00:27Z,APPOINTMENT OF A SERVICE PROVIDER TO SUPPLY AND DELIVER FURNITURE FOR THE NEW OFFICES ,active,22150,3195670,ZAR,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z,0,ocds-9t57fa-68149,ocds-9t57fa-68149-2023-09-22T00:00:00Z
1922,IC-22976,2024-06-18T13:25:06Z,Supply and delivery of ammunition for eThekwini Metro Police Services,active,29576,9503025,ZAR,2026-02-20T00:00:00Z,2024-03-20T00:00:00Z,2026-02-20T00:00:00Z,702,ocds-9t57fa-69431,ocds-9t57fa-69431-2023-10-06T00:00:00Z
2143,RLM/DPS/0065/2023/24,2024-08-22T13:25:39Z,"Appointment of a service providers for back-office software contravention system for Rustenburg Traffic Department for a period of 3 years
",active,33416,1750000,ZAR,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z,0,ocds-9t57fa-74612,ocds-9t57fa-74612-2023-11-18T00:00:00Z
1438,3100034739,2023-12-13T14:14:08Z,Supply and deliver of Pro cards,active,20452,133050,ZAR,2024-01-31T00:00:00Z,2023-10-18T00:00:00Z,2024-01-31T00:00:00Z,105,ocds-9t57fa-77216,ocds-9t57fa-77216-2023-09-29T00:00:00Z
1521,P1/AUX/CLN/16/23,2024-02-14T10:18:34Z,Appointment of Service Provider for Cleaning Services at EDTEA ILembe District Office,active,22118,150528,ZAR,2024-05-31T00:00:00Z,2023-12-01T00:00:00Z,2024-05-31T00:00:00Z,182,ocds-9t57fa-80266,ocds-9t57fa-80266-2023-10-28T00:00:00Z
