id,title,format,language,description,dateModified,documentType,datePublished,main_ocid,main_id,contracts_id
5232e481-3855-4f55-a65b-b20f4b1cc38c.pdf,DOCUMENT AFRIKAN CONTENT.pdf,pdf,en,"APPOINTMENT OF SERVICE PROVIDER TO PROVIDE A SERVICE OF DIGITAL AWARENESS AND DIGITAL MARKETING FOR THE PERIOD OF 12 MONTHS
",0001-01-01T00:00:00Z,pdf,2025-06-11T16:02:55Z,ocds-9t57fa-124850,ocds-9t57fa-124850-2025-04-30T00:00:00Z,3477
df5c6c53-617a-404f-81f4-b425bc59c827.pdf,Purchase Order #65535.pdf,pdf,en,SUPPLY AND INSTALLATION OF OFFICE FURNITURE FOR MPUMALANGA OFFICE,0001-01-01T00:00:00Z,pdf,2025-03-11T10:44:07Z,ocds-9t57fa-117144,ocds-9t57fa-117144-2025-02-21T00:00:00Z,3167
4443ad6a-b561-4c21-930a-0fdca4ed7d9d.pdf,Contract.pdf,pdf,en,"Hire and Servicing of Mobile Toilets to all SARS KZN Offices, on a as and when required basis",0001-01-01T00:00:00Z,pdf,2025-03-26T10:35:34Z,ocds-9t57fa-118449,ocds-9t57fa-118449-2025-02-21T00:00:00Z,3241
c56fbcfc-5034-4df8-9c1b-c9858244556d.pdf,Purchase Order #65901.pdf,pdf,en,SALGA BRAND REFRESH PROJECT,0001-01-01T00:00:00Z,pdf,2025-04-10T13:17:49Z,ocds-9t57fa-119144,ocds-9t57fa-119144-2025-03-20T00:00:00Z,3294
eac484ed-c0b7-45ec-8a6a-107d94d576dc.pdf,Purchaseorder Steven House Furniture.pdf,pdf,en,RFX: 6000027571 SUPPLY AND DELIVER FURNTIURE: STEVENS HOUSE; BROOKLYN,0001-01-01T00:00:00Z,pdf,2025-04-24T13:28:18Z,ocds-9t57fa-120777,ocds-9t57fa-120777-2025-01-17T00:00:00Z,3348
a720a238-0ff6-4952-b827-18619f2bc596.pdf,Lockdown IT Digital Risk Contract.pdf,pdf,en, Digital Risk Protection Service,0001-01-01T00:00:00Z,pdf,2025-11-14T11:49:03Z,ocds-9t57fa-120992,ocds-9t57fa-120992-2025-04-25T00:00:00Z,4018
bd5c473a-51be-4181-83e4-54092f9199ee.pdf,syntell final.pdf,pdf,en,"PROVISIONING OF LAW ENFORCEMENT, SPEED CAMERA/RED LIGHT EQUIPMENT, VEHICLES, BACK-OFFICE SYSTEMS, CALL CENTRE AND OTHER RELATED SERVICES",0001-01-01T00:00:00Z,pdf,2025-10-01T10:58:32Z,ocds-9t57fa-123114,ocds-9t57fa-123114-2025-05-23T00:00:00Z,3828
ce335a10-9e2c-45cd-94c7-2c8af4416c6b.pdf,Contract.pdf,pdf,en,"Supply and Delivery of Staff Welfare Items to KZN Offices, on a as and when required basis, for a period of 12 months",0001-01-01T00:00:00Z,pdf,2025-07-29T09:05:42Z,ocds-9t57fa-129049,ocds-9t57fa-129049-2025-06-27T00:00:00Z,3604
76a80b17-e0fb-4305-841a-4514a7e131fa.pdf,SCM24-2025-26 NATIONAL SEA REXCUE INSTITUTE OF SOUTH AFRICA.pdf,pdf,en,LIFESAVING SERVICES ,0001-01-01T00:00:00Z,pdf,2025-11-13T15:44:38Z,ocds-9t57fa-133817,ocds-9t57fa-133817-2025-09-12T00:00:00Z,4012
b896ca4c-5fc1-43e0-88fe-448caacaf67e.pdf,Purchaseorder.pdf,pdf,en,DESTRUCTION OF GOODS: ISCOR STATE WAREHOUSE,0001-01-01T00:00:00Z,pdf,2025-09-23T14:13:23Z,ocds-9t57fa-134832,ocds-9t57fa-134832-2025-09-04T00:00:00Z,3811
